rank_in_panel,panel,surface_or_bulk,hkl,phase_id,Name,Formula,phase_label,Ga_percent,Monolayer_alloy,Cu_atoms,Ga_atoms,stable_grid_fraction,stable_percent,T_min_K,T_max_K,T_span_K,log10_ratio_min,log10_ratio_max,log10_ratio_span,min_energy,unit,energy_column
1,Bulk oxide-derived,bulk,,1,Cu-bulk-Cu32,Cu32,0.0% Ga,0.0,,32.0,,0.3890794474830815,38.90794474830815,300.0,1100.0,800.0,-11.5,4.0,15.5,0.0,eV/atom,formation_energy_per_atom
2,Bulk oxide-derived,bulk,,16,Cu-bulk-Cu4Ga28_a,Cu4Ga28,87.5% Ga,87.5,,4.0,28.0,0.3829609715398164,38.29609715398164,385.0,1100.0,715.0,-16.0,-3.299999999999999,12.7,-4.038512182573822,eV/atom,formation_energy_per_atom
3,Bulk oxide-derived,bulk,,21,Cu-bulk-CuGa2,Cu4Ga8,66.7% Ga,66.67,,4.0,8.0,0.0765427520781187,7.65427520781187,330.0,1100.0,770.0,-16.0,-2.299999999999999,13.7,-0.3789352948159956,eV/atom,formation_energy_per_atom
4,Bulk oxide-derived,bulk,,14,Cu-bulk-Cu9Ga4,Cu36Ga16,30.8% Ga,30.77,,36.0,16.0,0.0616482803374432,6.16482803374432,300.0,1100.0,800.0,-16.0,-1.299999999999999,14.7,-0.1202394883902813,eV/atom,formation_energy_per_atom
5,Bulk oxide-derived,bulk,,3,Cu-bulk-Cu6Ga2,Cu6Ga2,25.0% Ga,25.0,,6.0,2.0,0.0470319211396434,4.70319211396434,300.0,1100.0,800.0,-14.2,-0.7999999999999989,13.4,-0.0503379308030437,eV/atom,formation_energy_per_atom
6,Bulk oxide-derived,bulk,,13,Cu-bulk-CuGa,Cu5Ga5,50.0% Ga,50.0,,5.0,5.0,0.0141837396866598,1.41837396866598,320.0,1100.0,780.0,-16.0,-2.1,13.9,-0.1631865301086997,eV/atom,formation_energy_per_atom
7,Bulk oxide-derived,bulk,,6,Cu-bulk-Cu28Ga4,Cu28Ga4,12.5% Ga,12.5,,28.0,4.0,0.010969994746763,1.0969994746763,300.0,1100.0,800.0,-12.2,-0.6999999999999993,11.5,-0.0067557774165729,eV/atom,formation_energy_per_atom
8,Bulk oxide-derived,bulk,,24,Cu-bulk-Cu13Ga9,Cu26Ga18,40.9% Ga,40.91,,26.0,18.0,0.0093631222768146,0.93631222768146,315.0,1100.0,785.0,-16.0,-2.0,14.0,-0.1352722862875972,eV/atom,formation_energy_per_atom
9,Bulk oxide-derived,bulk,,22,Cu-bulk-Cu30Ga2_b,Cu30Ga2,6.2% Ga,6.25,,30.0,2.0,0.008219770711659,0.8219770711659,300.0,1100.0,800.0,-11.8,-0.5999999999999996,11.2,-0.0018849954083062,eV/atom,formation_energy_per_atom
1,Surface hkl 100,Ga-covered surface,100.0,17,Cu-100-Ga-2x2x4-4,Cu12Ga4,100.0% ML,,100.0,12.0,4.0,0.4844102469021353,48.44102469021353,315.0,1100.0,785.0,-16.0,-2.0,14.0,-0.7347974887126449,eV/Å²,G_per_Area_corrected
2,Surface hkl 100,clean surface,100.0,0,Cu-100-clean-9x7x4,Cu252,0.0% ML,,0.0,252.0,0.0,0.3225487469484874,32.25487469484874,300.0,1100.0,800.0,-8.7,4.0,12.7,0.0,eV/Å²,G_per_Area_corrected
3,Surface hkl 100,Ga-covered surface,100.0,19,Cu-100-Ga-2x2x4-2,Cu14Ga2,50.0% ML,,50.0,14.0,2.0,0.1512314205370662,15.12314205370662,300.0,1100.0,800.0,-16.0,-0.1999999999999993,15.8,-0.045944483783295,eV/Å²,G_per_Area_corrected
4,Surface hkl 100,Ga-covered surface,100.0,16,Cu-100-Ga-2x2x4-1,Cu15Ga,25.0% ML,,25.0,15.0,1.0,0.0326627730910664,3.2662773091066395,300.0,1100.0,800.0,-10.1,0.1999999999999993,10.3,-0.0044608298569053,eV/Å²,G_per_Area_corrected
5,Surface hkl 100,Ga-covered surface,100.0,30,Cu-100-Ga-3x3x4-6,Cu30Ga6,66.7% ML,,66.67,30.0,6.0,0.0088377985847161,0.8837798584716099,310.0,1100.0,790.0,-16.0,-1.8999999999999984,14.1,-0.0492383277602215,eV/Å²,G_per_Area_corrected
6,Surface hkl 100,Ga-covered surface,100.0,32,Cu-100-Ga-3x3x4-3-a,Cu33Ga3,33.3% ML,,33.33,33.0,3.0,0.0003090139365285,0.03090139365285,305.0,1055.0,750.0,-9.9,-0.2999999999999989,9.6,-0.0045511799026574,eV/Å²,G_per_Area_corrected
1,Surface hkl 110,Ga-covered surface,110.0,35,Cu-110-Ga-2x2x9-10-a,Cu26Ga10,250.0% ML,,250.0,26.0,10.0,0.3731961311455146,37.31961311455146,395.0,1100.0,705.0,-16.0,-3.3999999999999986,12.6,-1.2714065607315337,eV/Å²,G_per_Area_corrected
2,Surface hkl 110,clean surface,110.0,0,Cu-110-clean-2x2x4,Cu16,0.0% ML,,0.0,16.0,0.0,0.2814498933901919,28.14498933901919,300.0,1100.0,800.0,-7.0,4.0,11.0,0.0,eV/Å²,G_per_Area_corrected
3,Surface hkl 110,Ga-covered surface,110.0,38,Cu-110-Ga-2x2x9-4-b,Cu28Ga8,200.0% ML,,200.0,28.0,8.0,0.158029727140694,15.8029727140694,300.0,1100.0,800.0,-16.0,-1.5,14.5,-0.1821188341490863,eV/Å²,G_per_Area_corrected
4,Surface hkl 110,Ga-covered surface,110.0,46,Cu-110-Ga-2x2x6-2-b,Cu22Ga2,50.0% ML,,50.0,22.0,2.0,0.0808071444022125,8.08071444022125,300.0,1100.0,800.0,-11.3,0.4000000000000021,11.700000000000005,-0.017690603574359,eV/Å²,G_per_Area_corrected
5,Surface hkl 110,Ga-covered surface,110.0,29,Cu-110-Ga-1x2x4-2,Cu6Ga2,100.0% ML,,100.0,6.0,2.0,0.0619572942739717,6.19572942739717,300.0,1100.0,800.0,-14.7,-0.7999999999999989,13.9,-0.0472933821689134,eV/Å²,G_per_Area_corrected
